Title,User,StarsRating,Date,ReviewText
Something different from Nolan's hand,HafizhMaulana21,9/10,6 January 2023,"A Protagonist undergoes a complicated mission by saving the world from future time attacks that can change the survival of the entire world.

It wouldn't be Christopher Nolan if it didn't make the audience confused and think hard about watching the film. Tenet is such a complicated science fiction movie. Too mathematical. Nolan was inspired by the story of quantum physics. This is what makes it difficult for ordinary people to understand. Many of my own word terms are also not used to being heard. Some of the scientific concepts that run in this movie I also never heard of. As a result, many people have difficulty in understanding this movie and it is difficult to digest every scene. The film seems to have been made for scientists.

Tenet has a complex and interconnected storyline. Using a story related to the existence of a time war that takes place in the future is unique to this film. The back-and-forth plot will always be Nolan's trademark, including this film which also makes us have to repeat some of the scenes in this movie. Tenet has such a fast pace of the film that it makes the film even harder to understand. Given the use of the term science in his dialogue. Some scenes also seem to be to the point in providing explanations. There are also some scenes that are seen in the cut, giving rise to plot holes in the story.

This film is interesting, it's just that it sees some cases where the story is still hollow, scenes that don't look perfect are weaknesses in this film. Likewise, the messy audio effect is an oddity in itself in my opinion in Nolan's own track record. Between the voices of the actors and the background music overlap each other. Especially when the scene of wearing a mask is really not clearly heard what they say. For his acting, both John David Washington and Robert Pattinson are excellent. Overall, the film is very good and a masterpiece. If you really understand."
A mess,alexandramkeene,6/10,6 January 2023,"I'm sure this was a good movie, but i wasn't taking notes (because i was watching a movie) so i couldn't keep up. Good performances across the board and Nolan movies are always stylistically impressive but the plot was so complicated and scattered. If you're going to see this, get some spoilers so you can wrap your head around it and you won't spend the whole movie trying to chart out what's going on. It's like Inception on steroids mixed with a sci fi James Bond. Good concept, but it's too all over the place for a one-time viewer. When it was over all I could say was ""what just happened?????"""
What's the opposite of Suspense and Action?,bbwwmcmc,4/10,26 December 2022,"Oh yeah, boredom and tediousness. So in that sense, mission accomplished.

Perhaps for future films the crypto Nolan can focus a bit less on the overtly stagey prescience and share more than the visual creep of Bane's mask that so weirdly and coincidentally resonates in today's social dystopia (what is it with breathing masks in his movies like ALL of the Tom Hardy characters?).

Give us a real peek of the secret societies instead for a change, if you dare Christopher.

Sure, he's no Kubrick and it shows, no reverse gear needed there. 'Too Clever by Half' in Nolan's case becomes 'Too Clever by a Millionth' with all its accompany devaluation.

Palindromically, a more suitable title for the movie would have been, 'Dud'.

Save yourself at least 2 and a half hours in this dimension, perhaps more if you then skip the parallel ones you may reside in, and take a hard pass.

Time will then be on your side."
A challenging masterpiece.,fb6ins1z1,9/10,25 December 2022,"They say imagination - not knowledge - is the true sign of intelligence. Well, Christopher Nolan must be quite the genius. The premise on which the plot of this movie is based is something many people don't even know about in its theoretic form. Yet Nolan dared to write it into a story, imagined and visualized, and present it in a fairly digestible manner despite the inherent risk of goofs and continuity errors in such a production. All of that requires imagination far beyond the average person possesses.

Tenet is certainly not meant to be enjoyed by everybody. First of all, in order to make the most of this experience, the viewer needs to have at least the simplest understanding of entropy and the non-linearity of space and time. While Tenet presents to us in the opening minutes the phenomena and how they apply to the plot, it may all seem like complete fiction if the viewer has no prior knowledge of the fact that ""reverse entropy"" is actually possible due to nothing in the math that explains our physical universe suggesting otherwise.

Tenet has a familiar feel, akin to Memento and Inception, both of which are also directed and written by Nolan. However, in terms of concessions made for allowing the plot to be more accessible to the average viewer, Tenet may well represent the epitome of Nolan's approach that I suspect aims to isolate the intelligent from the average. The viewer is never spoon-fed throughout this experience. The dialogue is concise and wastes no time in delivering critical information. There are practically no greetings; every conversation sprints straight to the point, and missing as little as 15 seconds of it can mean the subsequent chapter will make much less sense. What Nolan asks of the viewer for the best experience is not only some prior knowledge on the physics but also undivided attention.

Tenet is certainly challenging to watch, especially if you feel lost along the way. Could it have been made more accessible? Yes, I think so, but I don't know at what cost. The aforementioned concise dialogue and the cold, quiet professionalism of the main characters are essential ingredients in setting the tone here. Also, by the induced difficulty to follow the plot at times, the viewer is ushered into realizing how advanced our minds would have to be in order to understand the theory behind such complex physics, let alone develop technology to harness its potential. It deliberately intimidates us.

This movie is difficult to rate because it is unique - despite having similarities with Nolan's other products. I think the only detractor can be its lack of accessibility, but I also believe that is one of its key features. In terms of imagination and creativity, films like this are hard to come by. I understand why many reviewers underrated Tenet, but it is actually a masterpiece that was just waiting for the right mind(s) to come along and film it."
Fennel,simmans,4/10,23 December 2022,"I watched Tenet...

And then, finally, I watched Tenet with subtitles, because it's on Netflix, thinking I would enjoy it more...

I did not.

Sure, I had better access to the exposition, which is fine, but the grander plot was no more sensible than when I first watched, Sam's subtitles.

In brief, Tenet is far less clever than it imagines itself.

Time travel is complicated, certainly, proven by the fact that we haven't yet accomplished it. The best time travel movies establish their loose rules, then dance to Chuck Berry tunes, because time travel logic can never adhere to itself. Back To The Future and Avengers: Endgame succeed despite their failures. That is, ""Let's get on with the rest of the plot, because this time travel thing is never going to stand up to scrutiny.""

Tenet is a film that has no other plot to move on to, because it is entirely concerned with making its non-logic logical.

I imagine that writer-director Christopher Nolan lost precious sleep because he convinced himself that he could concoct a perfect time travel MacGuffin... but in doing so he sacrificed any kind of narrative that the audience could invest itself in.

Marty McFly saves his family. Tony Stark gets the Infinity Stones and palavers with his dad. Sarah Connor goes to the playground... these popcorn moments don't exist in Tenet.

Nolan has inserted his head so far up his own bottom, trying to concoct a logical time travel narrative, that he forgot to include a fun adventure.

His greatest failing, however, is that his time travel dynamics don't stand up to scrutiny... and the dull mess he's left behind make even less sense than when Marty McFly woke up to a family of happy, succesful siblings.

I mean... did some contractor actually build Freeport facilities using pre-shot glass?"
Unrealized masterpiece,sajjadgarshasbi-1995,10/10,20 December 2022,"Tenet is an exciting movie with great content.

This is not an opinion based on feelings, but I came to this conclusion after carefully reviewing the film.

About the visual effects of the film, I have to say that you are greeted with a beautiful painting in all the sequences.

Nolan has captured amazing images by choosing the best locations around the world.

The music of the film serves the narration of the story and keeps the heart rate of the audience high.

In the sequences where time is reversed, everything is executed perfectly and there are no technical flaws.

He warns us about the third world war. The atmosphere of the film is designed in such a way that the audience feels a strange and real fear of a possible war. And this is a masterpiece in every sense.

The complexity of the story is sweet and pleasant and does not go beyond the limit to be a source of torment for the audience.

Don't get involved in finding scientific answers to the presented topics and just feel them.

Then you will understand that Nolan warned us in simple language that if we use the resources of the world in the same way, it is possible that the next generations will find the intention to go back to the past and destroy us after the invention of the time machine.

This is a general analysis of Nolan's film.

The chase sequences are also made as beautifully as possible.

Philosophically, Nolan has spoken a lot in the form of symbols and playing with words and sentences through the dialogues exchanged between the actors."
Nolan shows us again he is a skillful visionary,mabmadridespana,10/10,17 December 2022,"This film arrives at the rare achievement of being able to make present and future match in a perfectly logical palindrome. There is an ambitious premise behind each detail of the script: to balance two opposite views of time, onwards and backwards, our actual time and space and a utopian one, and take us to the middle of this balance.

Its score, under the supervision of an emerging genius such as Ludwig Goransson, makes a perfect match for the intensity demanded by the complex montage. Visuals are strikingly original, and it all sums up to set a notion of timelessness in such a critical context us this days we are living in..."
"Clever, clever but not smart.",lastminutemike,3/10,16 December 2022,"To make a name for learning when other ways are barred, take something very simple and make it very hard. Piet Hein wrote that.

Nolan is trying too hard. When you unweave the story from its telling it's not very interesting, and that is disguised but not improved by the way it is told. I'm sure it all looked good on paper and the backwards forwards stuff made sense in diagrammatic form but as a film it just went sideways into the territory of ""who cares"". The emotional content was sketched in rather than developed

There have been several films, including Following and Memento, where a simple story has been made more enthralling by telling it in a complex fashion. This was not one of them."
Who green-lighted this movie?,mrkcase,3/10,13 December 2022,"When you walk out of a movie and have no idea what's it's about..then it's a bad movie. Forget about the dialog. You won't be able to hear it and none of it matters anyway. Who are all the characters? You'll never know and I doubt you'll even remember their names while taking the post movie bathroom visit. Hopefully Nolan can chill out with his obsession with time. It's worked in other movies but I started getting nervous with the jumbled up timelines in Dunkirk. To me, this movie is unwatchable. Go watch ""Primer"" instead. A great indie time travel movie.

I need to put extra characters to post this."
Tries too hard to be complex,ullasharma-95619,7/10,12 December 2022,"I really like Nolan's movies. All of them have been astoundingly good.

I like the way he plays with timelines and also I like to come with my own analysis.

But with Tenet , it seems like Nolan has deliberately tried to over-complicate a simple (compared to his other) story line.

Ofcourse , by intentionally leaving several scenes open-ended + playing around the editing , he has managed to confuse his audience.

Perhaps this indeed was his goal and not really to make his ideas clear.

Nolan fans will tend to try 'understanding' this story and interpret in their own ways , in an attempt to prove their own intelligence.

But story isnt as complicated , as i understand.

Here is what I Understood : All major powers have already discovered the ways of time travel , which they call 'turnstiles'.

The inverse technology is already well known and used by Super-Secret government organizations.

This screws up the future generations , and they try to find a way to find objects and humans who have been 'inversed'.

A scientist discovers a program named 'Tenet' , which basically when activated searches and destroys all 'inversed objects'.

Government agencies in future and past , realizing the danger of this program - hunt the scientist and and she breaks the program down into 9 pieces and hides them.

The government agencies then hire protagonist in the past to track and find the program.

Meanwhile , rebels in future - who want the problematic future to end for good , recruit Antagonist (Andrei) to collect all pieces of program and execute it.

But protagonist , knowing Governments true intentions , has his own plans.

The protagonist manages to find the program before it gets executed , takes it apart into three pieces.

Result : The timeline is undisturbed , Governments continue to use timemachines and future is doomed.

Other characters are introduced intentionally by Nolan to muddle things."
Very Good,rabeaaron,8/10,2 December 2022,"Nolan never ceases to amaze as he finds a new way of creating a movie around time. Unfortunately, this film stands out more as an impressive technical achievement than a gripping story you truly care about. Tenet's world gets lost in the weeds and lacks the character development to place this film in the top-tier category like many of Nolan's previous films. This film is worth a watch but will not be remembered as Nolan's best work.

Plot: 9/10 Acting: 7/10 Cinematography: 6/7 Score: 3.5/5 Enjoyable: 1/1 =80/100

Favorite Character = Neil (Robert Patterson)

Favorite Scene = Airport Infiltration

Favorite Quote = ""I'll See You At The Beginning, Friend."" - Neil."
Thinking hard or hardly thinking?,phlame64,6/10,2 December 2022,"It's innovative, but that's all there is to it. Nolan wanted to surprise the audience and appeal to intelligent people, but the plot ends up being all familiar from hundreds of other action/thriller films. The special effects were fantastic and a total waste of money, as usual with Hollywood movies. The backward scenes could have probably been done better. It's one of those films that you're supposed to watch twice or three times to fully comprehend. If only the prospect of seeing it again was more appealing, that is. I'm sure there's a lot of scientific nonsense, speculation, and errors, too. As is typical of Nolan films, he takes unconfirmed scientific theories (mostly from physics) for granted, adds a few paradoxes, guns, explosions, and attractive women, and makes billions. Dialogues were rather shallow, with a few highly technical terms thrown in here and there to make them sound deep. I watched it only to understand what people were talking about, but won't watch it again and won't recommend watching it."
"A chaotic mess, I love it!",sionetupou-25970,9/10,29 November 2022,"I love the concept, I love the visuals and I love the way it all ties up in the end. Granted this movie will be difficult to enjoy if you try too hard to understand it, just take notice of what happens and see it through. A second watch through wouldn't hurt either. Moving, fighting and shooting in reverse is crazy, even to come up with the idea as Christopher Nolan pulls off.

Granted as I mentioned thinking too hard wod negate ones enjoyment. Not to mention the main character feels flat for me. Witty and competent, just flat in terms of natural charisma.

Overall a good watch if you got the time to pay attention."
"Like the movie or not, Tenet is a groundbreaking cinematic achievment",manshowerdan,8/10,23 November 2022,"The time reversal scenes, the fight scene, and the way Nolan was able to capture scenes that were almost completely reversed accept the character. These alone are truly amazing accomplishments but I also think the rest of the movie is better than some people give it credit for. It is a bit confusing but personally I like to think out movies and this is probably the most timey wimey movie i've ever watched. I really do think that some people don't understand it and are thinking of things too linear which are some of the super negative reviews.

The movie is clearly very well thought out and accomplishes establishing a lot of revolutionary film making techniques and ideas."
"You were just watching it for the cool visuals, be honest you had no clue what was going on",charlesdavidson-54251,2/10,21 November 2022,"I remember watching this for the first time after hearing great things, but I was I left completely confused and not wanting answers.

The main character is so boring, he didn't have a single defining trait. A plot is cool on paper but the storytelling is just so dumb. The whole time travel thing is not explained well in the slightest, now I'm not expecting a top of the class science graduate level explanation but just something would be nice. The pacing is broken, all throughout the film I was constantly asking, why are we were, why are we doing this.

By the time we get to the final act there are so many characters and people that we don't know. I'll give it this though, the whole effect of running through a city while it's being destroyed in reverse (yes, that is real) looks really dope, in fact most of the film looks really good. But when you're constantly asking why to everything, it really takes away from what would have been a really cool scene.

The villain wasn't anything special and I'm constantly internally screaming ""HE'S RIGHT THERE"" and the excuse they give is so stupid 'we need him alive for information', like what information. It's so stupid especially since he's killed later in the film anyway so wtf. And the final twist was dumb and didn't need to be in the film

Overall, I'm sure this film has it's fans but I'm not one of them. The plot and story is so confusing that it effectively ruins what what have been cool scenes. The characters are dull and didn't leave an impression on me. I have heard this is a film I need to watch multiple times but this isn't one I plan on revisiting."
#Masterful_movie,Mehul-Parkhiya,10/10,19 November 2022,"TENET

Watching this movie was the best movie experience I have ever had and you should definitely go and experience it too.

It had great acting, story, cinematography, music and dialogue. The concept of inversion was worked out perfectly, just like you're used to from Nolan. Sure, it was complicated but if you pay attention it is really never incomprehensible. Because of the concept of inversion you'll set your eyes on things you have never seen before in any movie or series.

That is also one of the many aspects that make Tenet a very special movie and a real experience, and an experience you will definitely want to experience again. In my opinion, if you loved other Nolan movies like Inception, Interstellar, Memento and The Prestige you will undoubtedly absolutely love Tenet too.

Christopher Nolan? The man who keeps delivering.. I feel so stupid after seeing his movies the first time, but yet I'm still so impressed. He makes a movie, which I love, but not quite understand completely. I can't stop thinking about it and after some hours, I slowly start to make sense.

Tenet was terrific, even tho my brain felt blended."
Ignore all the 1 star troll review,jedkonmars,7/10,12 November 2022,"A miracle happened yesterday I went to the cinema again and watching this film makes me so great to be back in.

Tenet (2020) is a recently released spy thriller directed Christopher Nolan who's known for directing films like Inception (2010), Interstellar (2014) and The Dark Knight Trilogy (2005-2012), this film was supposed to come out in July but then a certain something happened so it got pushed back to August.

The plot revolves around 2 spies on a mission to prevent World War 3 which instead of nuclear weapons will be caused by a bullet that will reverse time.

As the first film I've seen at the cinema after a long time, It was a really good film, the acting was really good, the action scenes were well choreographed, I love the way they shot the film and as a replacement for Han Zimmer Ludwig Goransson brings us a fantastic score.

However the movie can be confusing at some scenes especially the bits when they go back in time.

But all in all this movie was a really good spy thriller and is definitely worth a ticket to see."
Ummmmmm WHAT DID I JUST WATCH ??,ezyja,5/10,11 November 2022,"Seriously I like Nolan and am a fan of the cast, but WTF is this movie ?

It starts at the end, or beginning or whatever he's trying to pitch here, the score is so pulsating and so loud the audio is muffled out and then he adds the fact we can travel in reverse while travelling forwards in the same situation using a pincer object.......not making sense.....HA wait til u see this and just try making sense of it.

Nolan is too smart for his own britches in this epic and hopefully he returns to simplistic viewing of memento......that's right I said it, Memento was simplistic compared to this attempt at a pleasurable experience.

It's hard to watch and hard to understand and takes effort viewing (which ull have to do multiple times to make any sense) even just the once."
Please rewind the tape,vhtfykyys,4/10,9 November 2022,"Back in the 70s when we were kids in school the teacher would occasionally show us educational films on a reel to reel projector. Even more occasionally she would accidentally queue the spool the wrong way, or at then end of the movie we'd plea with her to keep the projector on while she respooled the film back to the original reel. We found it hilarious to see water flow back into cups, people walk backwards, balls bounce into hands... Later in the 80s we'd sometimes do the same with rented films, preparing them for return, though it was no longer so uncanny and amazing. In the 90s music video directors would get singers to learn their words backwards so they could reverse the film for effect. It was cool at first but became a fairly obvious trope. With digital film and personal computers making reverse play easy there is no novelty in doing so.

Tenet seems to exist purely because you can rewind recorded film. Maybe if it came out in 1978 minds would have blown. Today the conceit is so obvious it is impossible to enjoy naively, constantly calling attention to the fact that we are watching a movie. The final battle scenes hilariously expose the poor ability of extras to walk backwards as if they are walking forwards. I found it impossible to ever suspend disbelief.

Perhaps it wouldn't matter if the script was any good, or the acting brilliant. But dialogue is terrible, wooden, first draft poor. The story makes no sense. It is all entirely bad. Nolan I want my time back. Rewind pls."
"You need to understand it, to appreciate it.",muskad202-804-796887,8/10,5 November 2022,"A very different take on time-travel.

You need to understand it, to appreciate it.

To understand it, I had to watch it twice.

I wouldn't mind watching it once more.

As expected, most audiences found it difficult to understand, and thus appreciate. And most wont have the patience (and rightly so, this shouldn't be a requirement) to watch it more than once.

Nevertheless, its great that we have someone like Christopher Nolan who can churn out mentally stimulating movies like Inception and Tenet.

Subtitles would have been great, and were very much needed in the scenes where the characters are talking through their gas masks."
Two genres squished into one that make it very challenging to understand,jordyntsmith,7/10,2 November 2022,"A spy thriller where the main character is trying to stop the unraveling of all humanity against an enemy who can move through time.

The concept of the movie is interesting. I would have liked a deeper exploration of moving backward through time. Unfortunately, the movie becomes very difficult to follow due to the whole spy plot. If the movie had explored the whole time element through a different genre, one where the motives and intentions of the characters are not intentionally hidden, then I think his could have been great.

It's a very dense movie that is hard the follow. The visuals are quite good though, and the actors are all excellent. It's not for everyone, but those who enjoy Nolan's work would probably enjoy it."
Most Mind Blowing Movie of All Time,hnambiar,10/10,1 November 2022,"Tenet is one of those movies where with every rewatch of the movie, you appreciate it even more.

As a Cristopher Nolan fan, I thoroughly enjoyed every single bit of the movie, everything from the idea, acting, storylines, set pieces and implementation. Every single thing is done to perfection.

WARNING: If you do not like to rewatch movies and have to think deeply about the movie, then this movie is not for you.

Tenet is a cinematic masterpiece with its unique idea, set pieces and motifs.

I know many people did not understand it even after rewatching it. I understood it the first time I saw it, rewatched it the next day and appreciated it even more.

Nolan: Yes Me: How much should I blow your mind?"
Tenet is a masterpiece,lukekspivey,10/10,31 October 2022,"There are a few legitimate complaints about this movie, but people who don't like it seem to focus their reviews on things that aren't even true. Tenet can be difficult to follow if you have to be spoon-fed dialogue, if most other time travel movies hurt your head, or if you don't understand the concept of entropy even after googling it. If you meet those requirements Tenet should score at least an 8/10 for you with its easy-to-appreciate aspects. These come in the form of great acting, the score, well-choreographed fights despite its sci-fi focus, and witty humor that doesn't slow down the incredible pace. I'm happy that people can watch this movie and enjoy it, but what is disappointing to me is the inability of people to put effort into the films they are watching. Tenet, like other Nolan films, will reward you immensely for putting forth some time and thought. I have seen many reviews listing issues with the movie that simply do not exist. To avoid spoilers, I will not debunk them here but know that you should watch the movie (probably more than once), and only once you fully understand it do you allow yourself to be influenced by the rest of the people here who don't know what's going on. Assuming you watch this in the right mindset and give it a genuine chance, I don't see how this could not become some of anyone's favorite movies.

The part above is for people who are deciding whether or not to watch the film. I may later write my thoughts on the movie, but it might be my #1 of all time."
"Headache-inducing, not always in a good way",massimilianofoschi,7/10,30 October 2022,"Christopher Nolan is often rightfully appreciated for creating complex movies with skillful exposition such that the audience understands enough to be thrilled, but is still left with the desire to rewatch the flick to comprehend all the intricacies. With Inception and Interstellar, he succeeded admirably. In Tenet, on the other hand, he left a lot to be desired.

Tenet's main sin is that the root of the confusion it induces in the viewer is in how the underlying symmetrical harmony of the story is covered by what is essentially smoke. The issue is not a lack of logic, an emotional core or whatever, it's that it struggles to convey the central themes effectively. Nevertheless, if you're willing to the work yourself, there is some reward at the end, so it's generally worth seeing."
What's with all the bad reviews?,zachswaze,9/10,28 October 2022,"This film has honestly become one of my favorite releases over the last couple years. I've watched it at least 4/5 times. Much more that Inception which everyone seems to think was better, but I have to disagree. Are people mad that they actually have to pay attention and think about complex theories? Maybe just stick to the unoriginal time travel movies like The Adam Project or Back to The Futures lol.

The concept was very original. Decent twists that play out with the discovery of Neil being recruited by The Protagonist in the future, how he is the one to save him in the beginning of the movie. The tone, cinematography, effects, acting were all great. I would love to see a sequel that explores who invents the inversion technology and the war that insures in the future."
Terrible audio/soundtrack,patrick-413,3/10,26 October 2022,"Sorry, but I hated this movie. It had so much potential: I love the cast, I like the concept, and some of the action scenes are quite good. But aside from the overly complicated plot, which was distracting but not a deal-breaker, I just hated the soundtrack.

First, let's just get this out of the way: the music is terrible. It's like the worst of the Tangerine Dream scores from the 70s and 80s on steroids. That style of score ruined so many otherwise good movies from that era that I believe it constitutes a blight on cinema, but this is even worse. Completely obtrusive, overpowering, and unlistenable.

And then, to make matters worse, the ""music"" was mixed so high that it constantly overpowered the dialogue. There were several places where I had no idea what people were saying because the score was MUCH louder than the voices.

I'll say that the plot, while convoluted and based on ideas that were logically flawed, would probably be better up on a second viewing. But the first viewing was so unpleasant and painful that I'll never give it that second watch that the filmmakers were obviously hoping I'd give it.

Three stars only for the good characters and interesting dialogue - what little of it I could hear, that is."
Confusing boring with obnoxiously loud background noises,lopezpatricia-06139,1/10,22 October 2022,This film is an insult to anyone with a basic grasp of physics. Even a physics lecture would be easier to follow than this crap. I had to nurse the Bluetooth speaker in my hand because the dialogue was impossible to hear but any other noises like a gun going off or a car door slamming were absolutely deafening and a complete assault of our senses. As everyone has said it's beyond difficult to follow making it boring boring boring!! I've been a die hard fan of sci fi my whole life but this made no sense at all. If it had been 2 hours or less I'd have seen it through but the last 25 mins we just cut our losses and shut it down like a roach infested cafe. Oh and check out when one guy described the grandfather paradox saying there is no right answer. What utter nonsense.
"God, this movie is really dumb and badly made",flingebunt,3/10,21 October 2022,"It starts with the possibility of an interesting twist on time travel. But the plot only moves forward through people sit around talking. Meanwhile there is all this action padding out the run time. The action is basically a really dumb spy thriller.

Then it ends up as a conventional time travel story. What is worse, the effects are boring, the logic doesn't make much sense, the plot is poorly executed.

This is Peak Christopher Nolan, in that he loves to play around with time and times lines in his movies, but proves he is not up to the task. It only appears to be a smart movie to dumb people. Give this one a miss."
Fascinating. Magical. Engaging screenplay,tejassawant13,9/10,20 October 2022,"A bit of confusing yet engaging story. Nolan Sir's direction and Screenplay is super tight. I loved all characters. Protagonist and Neil, both characters were well written.

Story of the movie is a bit confusing, and its good attempt because story is meant to confuse the audience. All the 3 acts in the movie are like climax in a way. And the reason behind it is the Direction of the movie.

The film demands attention and careful observation at camera work, dialogues, etc.

Cinematography is good. Especially camera work.

Special appreciation for Background score. Background score is the heart of the movie. So engaging. Hats off. It has power to give you at edge of the seat on lots of scenes.

Film has some negative points, such as it is not a popcorn enjoy movie. It demands your attention. Yeah!

Must Watch for sure."
The most intelligent sci-fi in decades,michaelkostukov,9/10,18 October 2022,"You will likely not enjoy the movie if you do not enjoy mind-bending puzzles. The movie is almost impossible to understand on the first watching. In the world of simplistic Marvel style superhero movies where the average movie goers' attention span is less than a minute- this movie will confuse a lot of people from the get go. They will inevitably project their frustration into negative ratings and complains of ""poor writing"". It requires at least two or three watchings to fully appreciate how good the writing actually is, the amazing attention to details and how everything actually makes sense - contrary to the initial perception."
Enjoyable if you don't think about it,tesmond,6/10,17 October 2022,"The film was fun and interesting, but not if you start thinking about it.

One of the great aspects of Nolan films is afterwards you want to go away and discuss them and think about the concepts and the story points that occur. This film is no exception.

Much like his other films it has an interesting concept that makes you want to delve into more and really think about it. This is sadly the point that everything falls apart. As soon as you start thinking about character motivations, the flow off the story and alternative choices you start to realise that the whole thing kind of falls apart.

I cannot actively recommend it but some of the concepts are interesting enough that it is more than just watchable. However, it does feel a little like the set pieces were written before the entire plot and the plot was really there to force the set pieces into play."
Garbage,salmar-26419,1/10,17 October 2022,"This movie is total garbage. The acting is stiff and cardboard, like everyone is reading off a piece of paper. The score is a total assault on the senses as is the whole movie. I feel that the positive reviews are from pretentious people who found the movie so bad that they think they must have missed something, so they give it a positive review to not appear ignorant. I don't mean to insult anyone, but I just don't understand how anyone found anything to like about this movie. This wants to be an intelligent movie, but it just isn't. I don't leave a lot of reviews, but this movie is just so bad that I had to write this to justify the time wasted watching it."
Over complex! but had potential!,curtistyrell,5/10,16 October 2022,"If only they simplified how time and objects were shifted. They could have atleast done a more simiplified presentation of the technoglogy or the scientific reasons behind it. It would have been so much more easier to follow if they'd done this. Cause I mean the film wasnt terrible, It just felt like the writer tried way too hard to make things sound complex and interesting when in the end it didnt really make sense at all.

I've watched this movie twice now and still struggled on the second viewing. Though the second time was much easier than the first since I already had a rough idea what was happening. I also had to watch it with subtitles since the audio muffled and dialogue is very hard to catch in parts. Some parts the dialogue just sounds like the actors are straight mumbling.

Considering the movie was written and directed by Christipher Nolan, you could say it was a bad movie. That's comparing to his other works. It definitely had potential, and I could have seen this as a good sequel, but only if the story or dialogue was more simplied or they presented what was happening more thoroughly, the dialogue was clear and didnt need sub titles, and the characters were believeable.

Overall. Not a bad movie, not a good movie. Had potential."
Boring Bond rip off,mcoats-71101,3/10,14 October 2022,"Not sure how this film got such a high rating, people will think anything is good these days!

It starts off well, but soon descends into what all these Bond-like films tend to, quickfire scenes that don't necessarily tie together, a few explosions, overly sped up repartee between multiple characters who always know a little too much about every subject in the world, and of course an English thesp playing an over the top Russian baddy. Yawn. Sure there are some great locations shot in but then you'd expect that in a Bond-esque rip off. Oh and chuck in Michael Caine for a cameo because you know he's British.

I don't buy Washington in the main role, nepotism aside, he's too small and awkward to be ""the protagonist"". He's too stiff, delivers his obvious one liners terribly ""at least buy me dinner first"" when being frisked and he and Pattison look like they'd struggle to run a 5k challenge let alone take on and beat up multiple burly Russians.

The plot too is just trying to be complex for the same of it, like a mix between Inception and Bourne - this fails on multiple levels. It's lazy, overacted, trite and quite frankly incredibly dull."
Great..... but Mumble mumble,ijiqkwfv,6/10,14 October 2022,"This film would have been a 9 for me. It's extremely complex but I enjoy understanding more of the plot on each rewatch. It is clearly intended to be both immersive and thought provoking and certainly succeeds on many levels. I also thought some of the performances were excellent, particularly the ""baddie"" who I would not want to meet.

But sad to say the sound has ruined it for me. With a plot this complex the viewer feels compelled to grasp every word being spoken and with Tenet this proved impossible. Some scenes I watched 5 times in quick succession but were just an incomprehensible mumble to me, particularly from the main character. Having to turn on the subtitles to get key plot points is a real turn off.

What a shame."
Low IQ People Are Hilarious...This Film Needs A Re-Release,bowen101-160-829536,10/10,11 October 2022,"Gotta love the hilarity of people with the IQs of potatoes crying and whining about ""pretentious"" and ""boring"". They just want a ""good guy get hot girl and shoot bad guy in face and save day"" for their plots. If it were left up to these cave-crawling, likely gun-toting no-IQ hick degenerates, cinema would have no depth, and everything would be explained to them using no more than 5 letter words written in crayon. Go watch all the Fast movies (no offense) or Marvel if you want low-effort entertainment for the rest of your life. Some of us like to use our brains. What a joke. Imagine admitting to having the intellectual range of a fruit fly and then blaming other people for you being confused. Get gud you insufferable numbnuts.

Most of the negative reviews complain about the film simply having depth and a plot line that isn't laid out for you in the first 5 minutes. This movie breaks the mold of no effort storytelling and weaves together a plot with tons of moving parts that fit together seamlessly. I will say the sound mixing was indeed odd at points where there was dialogue, and several scenes were tough to understand what people were saying. Be sure to watch with subtitles to get everything, but it's not necessary to enjoy the film. It's a wild and very satisfying ride."
A mess,amanfra-95901,6/10,10 October 2022,I love Nolan films. Even when they don't make much sense such as Interstellar. What frustrates me about this film is that the dialog is truly well-written but we can't even hear it over the annoying endless violins that sound like the giant speaker in Back to the Future. Like goodness. I'm trying to understand a complicated fictional story so that I can understand why half the film is played in reverse lol. I've watched it three times and still can't hear it three times. The other problem is terrible scene transitions. Like walking to motor boating (giggity) to sail boating to balcony jumping to dinner to sitting on a couch to whispering to yelling to forwarding to backwarding. LOL I've never needed to take a nap after a movie so much than after the incredibly exhausting Tenet.
A movie that had to be seen twice to be exelent,maxpinzonestrada,10/10,8 October 2022,"The first time you watch it you keep with the freaking that it was too long and that it was too complicated, BUT the second time you watch it you understand it and you understand why EACH SINGLE FRAME , not more or less, was important and needed for this movie to be exelent. Defenetly one of my favorite movies of all time when you start to think about it, because it's not a movie that just tells you what is happening, you see what is happening and understand it right in that moment you see it and that's what is perfect. Also things that happen, and you don't understand it, but it gets explained at the very end because it's a time traveling movie and it just makes sense to explain things when they are happening in the right timeline and not in the reversed because that would take the tension effect away. The movie and the Musik are perfectly made and interact perfect with each other. A A literal masterpiece.

10/10."
mumbo jumbo,williams-14,3/10,7 October 2022,"Honestly, this is nonsense designed to make stupid people feel clever

and frankly, given the 7.3 rating ... it worked.

I didn't enjoy it. It didn't make sense. It's noise, soundbites, explosions. There's really not much more to it. Lots of music, chases, a tall woman playing exactly the same role she played in The Night Manager.

This is an empty vacuous piece of flash trash for a generations whose attention span is too short to tell a coherent story from a training montage. It's what the 20s deserve.

I'm just astonished / saddened that this is considered top class film making. It's glitter and smoke bombs."
